,title,company,location,experience,salary,url,tags,source,index
47,"Analyst, Pricing Analytics",Palo Alto Networks,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/analyst-pricing-analytics-at-palo-alto-networks-3808254645?position=39&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=HbWcxbKaBs7T0tUE4uofXQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,48
48,Sales Operations Analyst,Whatfix,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/sales-operations-analyst-at-whatfix-3945081464?position=40&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=IJ%2BLN9ypWl8WWGIrywaBZQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,49
49,Staff Engineer - Data scientist,Freshworks,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/staff-engineer-data-scientist-at-freshworks-3964245042?position=41&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=q%2BH3HxaWcCqm0w%2FIl%2B3YVw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,50
50,Data Scientist,Jio,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-jio-3945750383?position=42&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=oCWmAMNCBSf1b9dFkxlXkQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,51
51,Data Scientist,BtrOpsn Software Pvt. Ltd.,"Bagalur, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-btropsn-software-pvt-ltd-3688170447?position=43&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=E9hXhUE1UJwXYmcCatUSQQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,52
52,Associate Product Manager,JUSPAY,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/associate-product-manager-at-juspay-3946035761?position=44&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=KmXuuF2Ql%2FoCj9qvMbh4Tw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,53
53,Data Scientist,Jio,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-jio-3945746570?position=45&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=Fn8Rwaj5GlJkoDglKBPp7Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,54
54,Risk - Analytics & Reporting - Associate - Bengaluru,Goldman Sachs,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/risk-analytics-reporting-associate-bengaluru-at-goldman-sachs-3782384799?position=46&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=%2Bt6QT7j7GaOJG0xdaDn0tg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,55
55,Data Analyst- Operations,apna,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-operations-at-apna-3818173546?position=47&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=%2BkJ8tOou%2BRKW0Kxz64kCGA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,56
56,Data Analyst,Yulu,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-yulu-3950335403?position=48&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=V0BXixT%2FYHqvTdL1RG1DgA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,57
